continent	latitude	wingsize	sex
1	35.5	901	0
1	37	896	0
1	38.6	906	0
1	40.7	907	0
1	40.9	898	0
1	42.4	893	0
1	45	913	0
1	46.8	915	0
1	48.8	927	0
1	49.8	924	0
1	50.8	930	0
0	36.4	905	0
0	39.3	889	0
0	41.3	915	0
0	43.4	930	0
0	45.5	895	0
0	47.3	926	0
0	48.5	944	0
0	50.4	925	0
0	52.1	920	0
0	56.1	934	0
1	35.5	797	1
1	37	806	1
1	38.6	812	1
1	40.7	807	1
1	40.9	818	1
1	42.4	809	1
1	45	810	1
1	46.8	819	1
1	48.8	800	1
1	49.8	823	1
1	50.8	814	1
0	36.4	789	1
0	39.3	803	1
0	41.3	812	1
0	43.4	820	1
0	45.5	808	1
0	47.3	815	1
0	48.5	855	1
0	50.4	842	1
0	52.1	819	1
0	56.1	839	1

